nih_reporter_name,nih_reporter_ipf_code,org_city,org_state,org_country,canonical_name,ror_link,openalex_link
CALIFORNIA INSTITUTE OF TECHNOLOGY,1073501,PASADENA,CA,USA,CALIFORNIA INSTITUTE OF TECHNOLOGY,https://ror.org/05dxps055,https://openalex.org/i122411786
UNIVERSITY OF CALIFORNIA RIVERSIDE,577506,RIVERSIDE,CA,USA,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",https://ror.org/03nawhv43,https://openalex.org/i103635307
J. DAVID GLADSTONE INSTITUTES,1567601,SAN FRANCISCO,CA,USA,GLADSTONE INSTITUTES,https://ror.org/038321296,https://openalex.org/i1321430492
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",577508,SAN FRANCISCO,CA,USA,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",https://ror.org/043mz5j54,https://openalex.org/i180670191
UNIVERSITY OF CALIFORNIA SANTA CRUZ,577510,SANTA CRUZ,CA,USA,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",https://ror.org/03s65by71,https://openalex.org/i185103710
STANFORD UNIVERSITY,8046501,STANFORD,CA,USA,STANFORD UNIVERSITY,https://ror.org/00f54p054,https://openalex.org/i97018004
LUNDQUIST INSTITUTE FOR BIOMEDICAL INNOVATION AT HARBOR-UCLA MEDICAL CENTER,2543101,TORRANCE,CA,USA,HARBOR-UCLA MEDICAL CENTER,https://ror.org/05h4zj272,https://openalex.org/i4210165985
UNIVERSITY OF COLORADO DENVER,1199905,Aurora,CO,USA,UNIVERSITY OF COLORADO DENVER,https://ror.org/02hh7en24,https://openalex.org/i921990950
UNIVERSITY OF COLORADO,1199902,Boulder,CO,USA,UNIVERSITY OF COLORADO BOULDER,https://ror.org/02ttsq026,https://openalex.org/i188538660
NATIONAL JEWISH HEALTH,5720901,DENVER,CO,USA,NATIONAL JEWISH HEALTH,https://ror.org/016z2bp30,https://openalex.org/i3019586173
COLORADO STATE UNIVERSITY,1725201,FORT COLLINS,CO,USA,COLORADO STATE UNIVERSITY,https://ror.org/03k1gpj17,https://openalex.org/i92446798
UNIVERSITY OF CONNECTICUT SCHOOL OF MED/DNT,1506603,FARMINGTON,CT,USA,UNIVERSITY OF CONNECTICUT SCHOOL OF MEDICINE,https://ror.org/02kzs4y22,https://openalex.org/i75929689
YALE UNIVERSITY,9420201,NEW HAVEN,CT,USA,YALE UNIVERSITY,https://ror.org/03v76x132,https://openalex.org/i32971472
GEORGE WASHINGTON UNIVERSITY,2863301,WASHINGTON,DC,USA,GEORGE WASHINGTON UNIVERSITY,https://ror.org/00y4zzh67,https://openalex.org/i193531525
GEORGETOWN UNIVERSITY,2869001,WASHINGTON,DC,USA,GEORGETOWN UNIVERSITY,https://ror.org/05vzafd60,https://openalex.org/i184565670
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,5221250,CORAL GABLES,FL,USA,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,https://ror.org/02dgjyy92,https://openalex.org/i145608581
UNIVERSITY OF FLORIDA,513806,GAINESVILLE,FL,USA,UNIVERSITY OF FLORIDA,https://ror.org/02y3ad647,https://openalex.org/i33213144
SCRIPPS FLORIDA,10005569,JUPITER,FL,USA,SCRIPPS FLORIDA,https://ror.org/056pdzs28,https://openalex.org/i4387156289
FLORIDA INTERNATIONAL UNIVERSITY,513809,MIAMI,FL,USA,FLORIDA INTERNATIONAL UNIVERSITY,https://ror.org/02gz6gg07,https://openalex.org/i19700959
UNIVERSITY OF CENTRAL FLORIDA,513805,ORLANDO,FL,USA,UNIVERSITY OF CENTRAL FLORIDA,https://ror.org/036nfer12,https://openalex.org/i106165777
FLORIDA STATE UNIVERSITY,513804,TALLAHASSEE,FL,USA,FLORIDA STATE UNIVERSITY,https://ror.org/05g3dte14,https://openalex.org/i103163165
UNIVERSITY OF SOUTH FLORIDA,513807,TAMPA,FL,USA,UNIVERSITY OF SOUTH FLORIDA,https://ror.org/032db5x82,https://openalex.org/i2613432
UNIVERSITY OF GEORGIA,676602,ATHENS,GA,USA,UNIVERSITY OF GEORGIA,https://ror.org/00te3t702,https://openalex.org/i165733156
EMORY UNIVERSITY,2384501,ATLANTA,GA,USA,EMORY UNIVERSITY,https://ror.org/03czfpz43,https://openalex.org/i150468666
GEORGIA INSTITUTE OF TECHNOLOGY,676603,ATLANTA,GA,USA,GEORGIA INSTITUTE OF TECHNOLOGY,https://ror.org/01zkghx44,https://openalex.org/i130701444
GEORGIA STATE UNIVERSITY,676604,ATLANTA,GA,USA,GEORGIA STATE UNIVERSITY,https://ror.org/03qt6ba18,https://openalex.org/i181565077
IOWA STATE UNIVERSITY,3974801,AMES,IA,USA,IOWA STATE UNIVERSITY,https://ror.org/04rswrd78,https://openalex.org/i173911158
UNIVERSITY OF IOWA,3972901,IOWA CITY,IA,USA,UNIVERSITY OF IOWA,https://ror.org/036jqmy94,https://openalex.org/i126307644
UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,577704,CHAMPAIGN,IL,USA,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,https://ror.org/047426m28,https://openalex.org/i157725225
LURIE CHILDREN'S HOSPITAL OF CHICAGO,1525701,CHICAGO,IL,USA,LURIE CHILDREN'S HOSPITAL,https://ror.org/03a6zw892,https://openalex.org/i1294278766
NORTHWESTERN UNIVERSITY AT CHICAGO,6144650,CHICAGO,IL,USA,NORTHWESTERN UNIVERSITY,https://ror.org/00m6w7z96,https://openalex.org/i111979921
RUSH UNIVERSITY MEDICAL CENTER,6644301,CHICAGO,IL,USA,RUSH UNIVERSITY MEDICAL CENTER,https://ror.org/01j7c0b24,https://openalex.org/i1285301757
UNIVERSITY OF CHICAGO,1413601,CHICAGO,IL,USA,UNIVERSITY OF CHICAGO,https://ror.org/024mw5h28,https://openalex.org/i40347166
UNIVERSITY OF ILLINOIS AT CHICAGO,577703,Chicago,IL,USA,UNIVERSITY OF ILLINOIS CHICAGO,https://ror.org/02mpq6x41,https://openalex.org/i39422238
LOYOLA UNIVERSITY CHICAGO,4689203,MAYWOOD,IL,USA,LOYOLA UNIVERSITY CHICAGO,https://ror.org/04b6x2g63,https://openalex.org/i1925986
TRUSTEES OF INDIANA UNIVERSITY,577805,BLOOMINGTON,IN,USA,INDIANA UNIVERSITY BLOOMINGTON,https://ror.org/01kg8sb98,https://openalex.org/i4210119109
INDIANA UNIVERSITY INDIANAPOLIS,577806,INDIANAPOLIS,IN,USA,INDIANA UNIVERSITY INDIANAPOLIS,https://ror.org/03eftgw80,https://openalex.org/i4388446366
UNIVERSITY OF NOTRE DAME,6169301,NOTRE DAME,IN,USA,UNIVERSITY OF NOTRE DAME,https://ror.org/04mwhg379,https://openalex.org/i107639228
PURDUE UNIVERSITY,1481402,WEST LAFAYETTE,IN,USA,PURDUE UNIVERSITY,https://ror.org/05p8z3f47,https://openalex.org/i219193219
UNIVERSITY OF KANSAS MEDICAL CENTER,1484303,KANSAS CITY,KS,USA,UNIVERSITY OF KANSAS MEDICAL CENTER,https://ror.org/036c9yv20,https://openalex.org/i4210128618
UNIVERSITY OF KANSAS LAWRENCE,1484302,LAWRENCE,KS,USA,UNIVERSITY OF KANSAS LAWRENCE,https://ror.org/001tmjg57,https://openalex.org/i146416000
KANSAS STATE UNIVERSITY,4202801,MANHATTAN,KS,USA,KANSAS STATE UNIVERSITY,https://ror.org/05p1j8758,https://openalex.org/i189590672
UNIVERSITY OF KENTUCKY,2793601,LEXINGTON,KY,USA,UNIVERSITY OF KENTUCKY,https://ror.org/02k3smh20,https://openalex.org/i143302722
UNIVERSITY OF LOUISVILLE,4679701,LOUISVILLE,KY,USA,UNIVERSITY OF LOUISVILLE,https://ror.org/01ckdn478,https://openalex.org/i142740786
LOUISIANA STATE UNIVERSITY A&M COL BATON ROUGE,577907,BATON ROUGE,LA,USA,LOUISIANA STATE UNIVERSITY BATON ROUGE,https://ror.org/05ect4e57,https://openalex.org/i121820613
TULANE UNIVERSITY OF LOUISIANA,8424601,NEW ORLEANS,LA,USA,TULANE UNIVERSITY,https://ror.org/04vmvtb21,https://openalex.org/i114832834
BETH ISRAEL DEACONESS MEDICAL CENTER,758101,BOSTON,MA,USA,BETH ISRAEL DEACONESS MEDICAL CENTER,https://ror.org/04drvxt59,https://openalex.org/i1316535847
BOSTON CHILDREN'S HOSPITAL,1504801,BOSTON,MA,USA,BOSTON CHILDREN'S HOSPITAL,https://ror.org/00dvg7y05,https://openalex.org/i1288882113
BOSTON MEDICAL CENTER,3617301,BOSTON,MA,USA,BOSTON MEDICAL CENTER,https://ror.org/010b9wj87,https://openalex.org/i1286490081
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,BOSTON,MA,USA,BOSTON UNIVERSITY,https://ror.org/05qwgg493,https://openalex.org/i111088046
BRIGHAM AND WOMEN'S HOSPITAL,1080401,BOSTON,MA,USA,BRIGHAM AND WOMEN'S HOSPITAL,https://ror.org/04b6nzv94,https://openalex.org/i1283280774
DANA-FARBER CANCER INST,1464901,BOSTON,MA,USA,DANA-FARBER CANCER INSTITUTE,https://ror.org/02jzgtq86,https://openalex.org/i4210117453
HARVARD MEDICAL SCHOOL,3212902,BOSTON,MA,USA,HARVARD UNIVERSITY,https://ror.org/03vek6s52,https://openalex.org/i136199984
MASSACHUSETTS GENERAL HOSPITAL,4907701,BOSTON,MA,USA,MASSACHUSETTS GENERAL HOSPITAL,https://ror.org/002pd6e78,https://openalex.org/i4210087915
NORTHEASTERN UNIVERSITY,6116101,BOSTON,MA,USA,NORTHEASTERN UNIVERSITY,https://ror.org/04t5xt781,https://openalex.org/i12912129
TUFTS UNIVERSITY BOSTON,8422704,BOSTON,MA,USA,TUFTS UNIVERSITY,https://ror.org/05wvpxv85,https://openalex.org/i121934306
"BROAD INSTITUTE, INC.",10021177,CAMBRIDGE,MA,USA,BROAD INSTITUTE,https://ror.org/05a0ya142,https://openalex.org/i107606265
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,4911501,CAMBRIDGE,MA,USA,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,https://ror.org/042nb2s44,https://openalex.org/i63966007
BOSTON COLLEGE,872101,CHESTNUT HILL,MA,USA,BOSTON COLLEGE,https://ror.org/02n2fzt79,https://openalex.org/i103531236
UNIVERSITY OF MASSACHUSETTS AMHERST,850904,HADLEY,MA,USA,UNIVERSITY OF MASSACHUSETTS AMHERST,https://ror.org/0072zz521,https://openalex.org/i24603500
UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL WORCESTER,850903,WORCESTER,MA,USA,UNIVERSITY OF MASSACHUSETTS CHAN MEDICAL SCHOOL,https://ror.org/0464eyp60,https://openalex.org/i166722992
JOHNS HOPKINS UNIVERSITY,4134401,BALTIMORE,MD,USA,JOHNS HOPKINS UNIVERSITY,https://ror.org/00za53h95,https://openalex.org/i145311948
UNIVERSITY OF MARYLAND BALTIMORE,820104,BALTIMORE,MD,USA,"UNIVERSITY OF MARYLAND, BALTIMORE",https://ror.org/04rq5mt64,https://openalex.org/i126744593
HENRY M. JACKSON FDN FOR THE ADV MIL/MED,1809301,BETHESDA,MD,USA,HENRY M. JACKSON FOUNDATION,https://ror.org/04q9tew83,https://openalex.org/i1280259254
"UNIVERSITY OF MARYLAND, COLLEGE PARK",820102,COLLEGE PARK,MD,USA,"UNIVERSITY OF MARYLAND, COLLEGE PARK",https://ror.org/047s2c258,https://openalex.org/i66946132
JACKSON LABORATORY,7096501,BAR HARBOR,ME,USA,JACKSON LABORATORY,https://ror.org/021sy4w91,https://openalex.org/i4210115256
UNIVERSITY OF MICHIGAN AT ANN ARBOR,1506502,ANN ARBOR,MI,USA,UNIVERSITY OF MICHIGAN AT ANN ARBOR,https://ror.org/00jmfr291,https://openalex.org/i27837315
WAYNE STATE UNIVERSITY,9110501,DETROIT,MI,USA,WAYNE STATE UNIVERSITY,https://ror.org/01070mq45,https://openalex.org/i185443292
MICHIGAN STATE UNIVERSITY,5245901,EAST LANSING,MI,USA,MICHIGAN STATE UNIVERSITY,https://ror.org/05hs6h993,https://openalex.org/i87216513
UNIVERSITY OF MINNESOTA,1450402,MINNEAPOLIS,MN,USA,UNIVERSITY OF MINNESOTA,https://ror.org/017zqws13,https://openalex.org/i130238516
MAYO CLINIC ROCHESTER,4976101,ROCHESTER,MN,USA,MAYO CLINIC ROCHESTER,https://ror.org/02qp3tb03,https://openalex.org/i1330342723
UNIVERSITY OF MISSOURI-COLUMBIA,578002,COLUMBIA,MO,USA,UNIVERSITY OF MISSOURI-COLUMBIA,https://ror.org/02ymw8z06,https://openalex.org/i76835614
SAINT LOUIS UNIVERSITY,7915401,SAINT LOUIS,MO,USA,SAINT LOUIS UNIVERSITY,https://ror.org/01p7jjy08,https://openalex.org/i47838141
WASHINGTON UNIVERSITY,9083901,SAINT LOUIS,MO,USA,WASHINGTON UNIVERSITY,https://ror.org/01yc7t268,https://openalex.org/i204465549
MONTANA STATE UNIVERSITY - BOZEMAN,1381004,BOZEMAN,MT,USA,MONTANA STATE UNIVERSITY BOZEMAN,https://ror.org/02w0trx84,https://openalex.org/i23732399
UNIVERSITY OF MONTANA,1381006,MISSOULA,MT,USA,UNIVERSITY OF MONTANA,https://ror.org/0078xmk34,https://openalex.org/i6750721
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,578206,CHAPEL HILL,NC,USA,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,https://ror.org/0130frc33,https://openalex.org/i114027177
DUKE UNIVERSITY,2221101,DURHAM,NC,USA,DUKE UNIVERSITY,https://ror.org/00py81415,https://openalex.org/i170897317
EAST CAROLINA UNIVERSITY,578209,GREENVILLE,NC,USA,EAST CAROLINA UNIVERSITY,https://ror.org/01vx35703,https://openalex.org/i186335123
NORTH CAROLINA STATE UNIVERSITY RALEIGH,578204,RALEIGH,NC,USA,NORTH CAROLINA STATE UNIVERSITY RALEIGH,https://ror.org/04tj63d06,https://openalex.org/i137902535
RESEARCH TRIANGLE INSTITUTE,6939101,RESEARCH TRIANGLE PARK,NC,USA,RESEARCH TRIANGLE INSTITUTE,https://ror.org/052tfza37,https://openalex.org/i180297670
WAKE FOREST UNIVERSITY HEALTH SCIENCES,9021205,WINSTON-SALEM,NC,USA,WAKE FOREST UNIVERSITY HEALTH SCIENCES,https://ror.org/0207ad724,https://openalex.org/i47251452
UNIVERSITY OF NORTH DAKOTA,6093301,GRAND FORKS,ND,USA,UNIVERSITY OF NORTH DAKOTA,https://ror.org/04a5szx83,https://openalex.org/i24571045
CREIGHTON UNIVERSITY,1943701,OMAHA,NE,USA,CREIGHTON UNIVERSITY,https://ror.org/05wf30g94,https://openalex.org/i114493937
UNIVERSITY OF NEBRASKA MEDICAL CENTER,578104,OMAHA,NE,USA,UNIVERSITY OF NEBRASKA MEDICAL CENTER,https://ror.org/00thqtb16,https://openalex.org/i59130452
DARTMOUTH COLLEGE,2021601,HANOVER,NH,USA,DARTMOUTH COLLEGE,https://ror.org/049s0rh22,https://openalex.org/i107672454
HACKENSACK UNIVERSITY MEDICAL CENTER,3117901,HACKENSACK,NJ,USA,HACKENSACK UNIVERSITY MEDICAL CENTER,https://ror.org/008zj0x80,https://openalex.org/i1324520350
RBHS-NEW JERSEY MEDICAL SCHOOL,10034169,NEWARK,NJ,USA,RUTGERS NEW JERSEY MEDICAL SCHOOL,https://ror.org/014ye1258,https://openalex.org/i4402554120
RUTGERS BIOMEDICAL AND HEALTH SCIENCES,10034168,Newark,NJ,USA,RUTGERS BIOMEDICAL AND HEALTH SCIENCES,https://ror.org/029z02k15,https://openalex.org/i4390039302
"RUTGERS, THE STATE UNIVERSITY OF N.J.",1196203,PISCATAWAY,NJ,USA,RUTGERS,https://ror.org/05vt9qd57,https://openalex.org/i102322142
PRINCETON UNIVERSITY,6661401,Princeton,NJ,USA,PRINCETON UNIVERSITY,https://ror.org/00hx57361,https://openalex.org/i20089843
UNIVERSITY OF NEW MEXICO HEALTH SCIENCES CTR,10021612,ALBUQUERQUE,NM,USA,UNIVERSITY OF NEW MEXICO HEALTH SCIENCES CENTER,https://ror.org/02jvjmd55,https://openalex.org/i4405255059
UNIVERSITY OF NEVADA RENO,829903,RENO,NV,USA,UNIVERSITY OF NEVADA RENO,https://ror.org/01keh0577,https://openalex.org/i134113660
ALBANY MEDICAL COLLEGE,8455007,ALBANY,NY,USA,ALBANY MEDICAL COLLEGE,https://ror.org/03g66yt05,https://openalex.org/i4405260259
STATE UNIVERSITY OF NEW YORK AT BUFFALO,5992614,AMHERST,NY,USA,STATE UNIVERSITY OF NEW YORK AT BUFFALO,https://ror.org/01y64my43,https://openalex.org/i63190737
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,BRONX,NY,USA,ALBERT EINSTEIN COLLEGE OF MEDICINE,https://ror.org/05cf8a891,https://openalex.org/i129975664
COLD SPRING HARBOR LABORATORY,4577101,COLD SPRING HARBOR,NY,USA,COLD SPRING HARBOR LABORATORY,https://ror.org/02qz8b764,https://openalex.org/i2750212522
CORNELL UNIVERSITY,1514802,ITHACA,NY,USA,CORNELL UNIVERSITY,https://ror.org/05bnh6r87,https://openalex.org/i205783295
FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,4155008,MANHASSET,NY,USA,FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,https://ror.org/05dnene97,https://openalex.org/i1327576362
WADSWORTH CENTER,5966012,MENANDS,NY,USA,WADSWORTH CENTER,https://ror.org/050kf9c55,https://openalex.org/i1339417872
COLUMBIA UNIVERSITY HEALTH SCIENCES,1833205,NEW YORK,NY,USA,COLUMBIA UNIVERSITY,https://ror.org/00hj8s172,https://openalex.org/i78577930
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,3839801,NEW YORK,NY,USA,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,https://ror.org/04a9tmd77,https://openalex.org/i98704320
NEW YORK BLOOD CENTER,1782801,NEW YORK,NY,USA,NEW YORK BLOOD CENTER,https://ror.org/01xvcf081,https://openalex.org/i1343675862
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,5998304,NEW YORK,NY,USA,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,https://ror.org/0190ak572,https://openalex.org/i57206974
ROCKEFELLER UNIVERSITY,7056601,NEW YORK,NY,USA,ROCKEFELLER UNIVERSITY,https://ror.org/0420db125,https://openalex.org/i83399316
SLOAN-KETTERING INSTITUTE CANCER RESEARCH,5079202,NEW YORK,NY,USA,MEMORIAL SLOAN-KETTERING,https://ror.org/02yrq0923,https://openalex.org/i1334819555
WEILL MEDICAL COLL OF CORNELL UNIV,1514803,NEW YORK,NY,USA,WEILL CORNELL MEDICINE,https://ror.org/02r109517,https://openalex.org/i4387153466
UNIVERSITY OF ROCHESTER,7047101,ROCHESTER,NY,USA,UNIVERSITY OF ROCHESTER,https://ror.org/022kthw22,https://openalex.org/i5388228
STATE UNIVERSITY NEW YORK STONY BROOK,5992612,STONY BROOK,NY,USA,STATE UNIVERSITY NEW YORK STONY BROOK,https://ror.org/05qghxh33,https://openalex.org/i59553526
UPSTATE MEDICAL UNIVERSITY,5992619,SYRACUSE,NY,USA,UPSTATE MEDICAL UNIVERSITY,https://ror.org/040kfrw16,https://openalex.org/i20388574
CINCINNATI CHILDRENS HOSP MEDICAL CTR,615001,CINCINNATI,OH,USA,CINCINNATI CHILDREN’S HOSPITAL MEDICAL CENTER,https://ror.org/01hcyya48,https://openalex.org/i1285204247
UNIVERSITY OF CINCINNATI,1523902,CINCINNATI,OH,USA,UNIVERSITY OF CINCINNATI,https://ror.org/01e3m7079,https://openalex.org/i63135867
CASE WESTERN RESERVE UNIVERSITY,218601,CLEVELAND,OH,USA,CASE WESTERN RESERVE UNIVERSITY,https://ror.org/051fd9666,https://openalex.org/i58956616
CLEVELAND CLINIC LERNER COM-CWRU,10000858,CLEVELAND,OH,USA,CLEVELAND CLINIC,https://ror.org/02x4b0932,https://openalex.org/i36373038
OHIO STATE UNIVERSITY,6218701,Columbus,OH,USA,OHIO STATE UNIVERSITY,https://ror.org/00rs6vg23,https://openalex.org/i52357470
RESEARCH INSTITUTE NATIONWIDE CHILDREN'S HOSP,1495302,COLUMBUS,OH,USA,NATIONWIDE CHILDREN'S HOSPITAL,https://ror.org/003rfsp33,https://openalex.org/i1314135232
UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,229501,TOLEDO,OH,USA,UNIVERSITY OF TOLEDO HEALTH SCIENCE CAMPUS,https://ror.org/01pbdzh19,https://openalex.org/i12057038
UNIVERSITY OF OKLAHOMA,1524002,NORMAN,OK,USA,UNIVERSITY OF OKLAHOMA,https://ror.org/02aqsxs83,https://openalex.org/i8692664
OKLAHOMA MEDICAL RESEARCH FOUNDATION,6239601,OKLAHOMA CITY,OK,USA,OKLAHOMA MEDICAL RESEARCH FOUNDATION,https://ror.org/035z6xf33,https://openalex.org/i30558944
UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,1524003,OKLAHOMA CITY,OK,USA,UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,https://ror.org/0457zbj98,https://openalex.org/i49332381
OKLAHOMA STATE UNIVERSITY STILLWATER,1450502,STILLWATER,OK,USA,OKLAHOMA STATE UNIVERSITY STILLWATER,https://ror.org/01g9vbr38,https://openalex.org/i115475287
OREGON HEALTH & SCIENCE UNIVERSITY,6297007,PORTLAND,OR,USA,OREGON HEALTH & SCIENCE UNIVERSITY,https://ror.org/009avj582,https://openalex.org/i165690674
PENNSYLVANIA STATE UNIVERSITY HERSHEY MEDICAL CTR,1524204,HERSHEY,PA,USA,PENNSYLVANIA STATE UNIVERSITY HERSHEY MEDICAL CENTER,https://ror.org/01h22ap11,https://openalex.org/i82783531
CHILDREN'S HOSP OF PHILADELPHIA,1499101,PHILADELPHIA,PA,USA,CHILDREN'S HOSP OF PHILADELPHIA,https://ror.org/01z7r7q48,https://openalex.org/i1335321130
DREXEL UNIVERSITY,2205901,PHILADELPHIA,PA,USA,DREXEL UNIVERSITY,https://ror.org/04bdffz58,https://openalex.org/i72816309
RESEARCH INSTITUTE OF FOX CHASE CANCER CTR,1190002,PHILADELPHIA,PA,USA,FOX CHASE CANCER CENTER,https://ror.org/0567t7073,https://openalex.org/i1289437631
TEMPLE UNIVERSITY OF THE COMMONWEALTH,8240301,PHILADELPHIA,PA,USA,TEMPLE UNIVERSITY,https://ror.org/00kx1jb78,https://openalex.org/i84392919
THOMAS JEFFERSON UNIVERSITY,4050801,PHILADELPHIA,PA,USA,THOMAS JEFFERSON UNIVERSITY,https://ror.org/00ysqcn41,https://openalex.org/i149251103
UNIVERSITY OF PENNSYLVANIA,6463801,PHILADELPHIA,PA,USA,UNIVERSITY OF PENNSYLVANIA,https://ror.org/00b30xv10,https://openalex.org/i79576946
WISTAR INSTITUTE,9340401,PHILADELPHIA,PA,USA,WISTAR INSTITUTE,https://ror.org/04wncat98,https://openalex.org/i102322052
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2059802,PITTSBURGH,PA,USA,UNIVERSITY OF PITTSBURGH,https://ror.org/01an3r305,https://openalex.org/i170201317
"PENNSYLVANIA STATE UNIVERSITY, THE",1524202,UNIVERSITY PARK,PA,USA,PENNSYLVANIA STATE UNIVERSITY,https://ror.org/04p491231,https://openalex.org/i130769515
BROWN UNIVERSITY,1003201,PROVIDENCE,RI,USA,BROWN UNIVERSITY,https://ror.org/05gq02987,https://openalex.org/i27804330
RHODE ISLAND HOSPITAL,6959701,PROVIDENCE,RI,USA,RHODE ISLAND HOSPITAL,https://ror.org/01aw9fv09,https://openalex.org/i2800446032
