org_name,org_city,org_state,org_ipf_code
"SCRIPPS RESEARCH INSTITUTE, THE",LA JOLLA,CA,7375802
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NEW YORK,NY,5998304
TUFTS UNIVERSITY BOSTON,BOSTON,MA,8422704
HARVARD MEDICAL SCHOOL,BOSTON,MA,3212902
UT SOUTHWESTERN MEDICAL CENTER,DALLAS,TX,578404
OREGON HEALTH & SCIENCE UNIVERSITY,PORTLAND,OR,6297007
UNIVERSITY OF CALIFORNIA-IRVINE,IRVINE,CA,577504
ALBERT EINSTEIN COLLEGE OF MEDICINE,BRONX,NY,10053556
FRED HUTCHINSON CANCER CENTER,SEATTLE,WA,10068583
CORNELL UNIVERSITY,ITHACA,NY,1514802
INDIANA UNIVERSITY INDIANAPOLIS,INDIANAPOLIS,IN,577806
UTAH STATE HIGHER EDUCATION SYSTEM--UNIVERSITY OF UTAH,SALT LAKE CITY,UT,514002
SEATTLE CHILDREN'S HOSPITAL,SEATTLE,WA,1531401
BAYLOR COLLEGE OF MEDICINE,HOUSTON,TX,481201
RUTGERS BIOMEDICAL AND HEALTH SCIENCES,Newark,NJ,10034168
CINCINNATI CHILDRENS HOSP MED CTR,CINCINNATI,OH,615001
COLORADO STATE UNIVERSITY,FORT COLLINS,CO,1725201
UNIVERSITY OF ROCHESTER,ROCHESTER,NY,7047101
UNIVERSITY OF CALIFORNIA BERKELEY,BERKELEY,CA,577502
TULANE UNIVERSITY OF LOUISIANA,NEW ORLEANS,LA,8424601
UNIVERSITY OF ARIZONA,TUCSON,AZ,490201
UNIVERSITY OF ILLINOIS AT CHICAGO,Chicago,IL,577703
FRED HUTCHINSON CANCER RESEARCH CENTER,SEATTLE,WA,861001
VIRGINIA POLYTECHNIC INST AND ST UNIV,BLACKSBURG,VA,8968001
CHILDREN'S HOSP OF PHILADELPHIA,PHILADELPHIA,PA,1499101
CASE WESTERN RESERVE UNIVERSITY,CLEVELAND,OH,218601
ST. JUDE CHILDREN'S RESEARCH HOSPITAL,MEMPHIS,TN,7893501
ROCKEFELLER UNIVERSITY,NEW YORK,NY,7056601
RBHS-NEW JERSEY MEDICAL SCHOOL,NEWARK,NJ,10034169
MAYO CLINIC ROCHESTER,ROCHESTER,MN,4976101
"UNIV OF MARYLAND, COLLEGE PARK",COLLEGE PARK,MD,820102
KEYSTONE SYMPOSIA,SILVERTHORNE,CO,3736601
GORDON RESEARCH CONFERENCES,East Greenwich,RI,2988701
UNIVERSITY OF KENTUCKY,LEXINGTON,KY,2793601
HARVARD UNIVERSITY D/B/A HARVARD SCHOOL OF PUBLIC HEALTH,BOSTON,MA,3212904
UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,SAN ANTONIO,TX,578418
BOSTON UNIVERSITY MEDICAL CAMPUS,BOSTON,MA,894901
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,HOUSTON,TX,578417
STATE UNIVERSITY OF NEW YORK AT BUFFALO,AMHERST,NY,5992614
DARTMOUTH COLLEGE,HANOVER,NH,2021601
THOMAS JEFFERSON UNIVERSITY,PHILADELPHIA,PA,4050801
MEDICAL COLLEGE OF WISCONSIN,MILWAUKEE,WI,46001
LA JOLLA INSTITUTE FOR IMMUNOLOGY,LA JOLLA,CA,2465301
UNIVERSITY OF NEBRASKA MEDICAL CENTER,OMAHA,NE,578104
UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,CHAMPAIGN,IL,577704
STATE UNIVERSITY NEW YORK STONY BROOK,STONY BROOK,NY,5992612
MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,5245901
VANDERBILT UNIVERSITY,Nashville,TN,8721001
UNIVERSITY OF SOUTH FLORIDA,TAMPA,FL,513807
BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MA,758101
BENAROYA RESEARCH INST AT VIRGINIA MASON,SEATTLE,WA,8961401
SLOAN-KETTERING INST CAN RESEARCH,NEW YORK,NY,5079202
UNIVERSITY OF MISSOURI-COLUMBIA,COLUMBIA,MO,578002
"PENNSYLVANIA STATE UNIVERSITY, THE",UNIVERSITY PARK,PA,1524202
GEORGE WASHINGTON UNIVERSITY,WASHINGTON,DC,2863301
UNIVERSITY OF SOUTHERN CALIFORNIA,Los Angeles,CA,7636101
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,1225501
METHODIST HOSPITAL RESEARCH INSTITUTE,HOUSTON,TX,10005742
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,COLUMBUS,OH,1495302
TEXAS BIOMEDICAL RESEARCH INSTITUTE,SAN ANTONIO,TX,7660801
UNIVERSITY OF NOTRE DAME,NOTRE DAME,IN,6169301
CLEVELAND CLINIC LERNER COM-CWRU,CLEVELAND,OH,10000858
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,CORAL GABLES,FL,5221250
BROWN UNIVERSITY,PROVIDENCE,RI,1003201
WASHINGTON STATE UNIVERSITY,PULLMAN,WA,9082001
TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,COLLEGE STATION,TX,8266910
UNIVERSITY OF TENNESSEE HEALTH SCI CTR,MEMPHIS,TN,578302
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA,4911501
PURDUE UNIVERSITY,WEST LAFAYETTE,IN,1481402
UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,BURLINGTON,VT,8738101
UNIV OF ARKANSAS FOR MED SCIS,LITTLE ROCK,AR,1471106
UNIVERSITY OF KANSAS MEDICAL CENTER,KANSAS CITY,KS,1484303
GEORGIA STATE UNIVERSITY,ATLANTA,GA,676604
UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,FARMINGTON,CT,1506603
PENNSYLVANIA STATE UNIV HERSHEY MED CTR,HERSHEY,PA,1524204
HENRY M. JACKSON FDN FOR THE ADV MIL/MED,BETHESDA,MD,1809301
UNIVERSITY OF CINCINNATI,CINCINNATI,OH,1523902
UNIVERSITY OF TEXAS AT AUSTIN,AUSTIN,TX,578403
UNIVERSITY OF LOUISVILLE,LOUISVILLE,KY,4679701
UNIVERSITY OF TX MD ANDERSON CAN CTR,HOUSTON,TX,578407
DREXEL UNIVERSITY,PHILADELPHIA,PA,2205901
UNIVERSITY OF CALIFORNIA RIVERSIDE,RIVERSIDE,CA,577506
VIRGINIA COMMONWEALTH UNIVERSITY,RICHMOND,VA,353201
GEORGIA INSTITUTE OF TECHNOLOGY,ATLANTA,GA,676603
WAKE FOREST UNIVERSITY HEALTH SCIENCES,WINSTON-SALEM,NC,9021205
LOYOLA UNIVERSITY CHICAGO,MAYWOOD,IL,4689203
IOWA STATE UNIVERSITY,AMES,IA,3974801
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,COLUMBIA,SC,1524302
GEORGETOWN UNIVERSITY,WASHINGTON,DC,2869001
HACKENSACK UNIVERSITY MEDICAL CENTER,HACKENSACK,NJ,3117901
DANA-FARBER CANCER INST,BOSTON,MA,1464901
PRINCETON UNIVERSITY,Princeton,NJ,6661401
UNIVERSITY OF CENTRAL FLORIDA,ORLANDO,FL,513805
TRUSTEES OF INDIANA UNIVERSITY,BLOOMINGTON,IN,577805
NATIONAL JEWISH HEALTH,DENVER,CO,5720901
TEMPLE UNIV OF THE COMMONWEALTH,PHILADELPHIA,PA,8240301
TEXAS A&M AGRILIFE RESEARCH,College Station,TX,8266920
RHODE ISLAND HOSPITAL,PROVIDENCE,RI,6959701
SCRIPPS FLORIDA,JUPITER,FL,10005569
UNIVERSITY OF CALIFORNIA SANTA CRUZ,SANTA CRUZ,CA,577510
UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,ALBUQUERQUE,NM,10021612
WISTAR INSTITUTE,PHILADELPHIA,PA,9340401
WADSWORTH CENTER,MENANDS,NY,5966012
OKLAHOMA MEDICAL RESEARCH FOUNDATION,OKLAHOMA CITY,OK,6239601
SAINT LOUIS UNIVERSITY,SAINT LOUIS,MO,7915401
"SANARIA, INC.",ROCKVILLE,MD,10000312
UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OKLAHOMA CITY,OK,1524003
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,SCOTTSDALE,AZ,488301
ALBANY MEDICAL COLLEGE,ALBANY,NY,8455007
OKLAHOMA STATE UNIVERSITY STILLWATER,STILLWATER,OK,1450502
BOSTON COLLEGE,CHESTNUT HILL,MA,872101
UNIVERSITY OF COLORADO,Boulder,CO,1199902
KANSAS STATE UNIVERSITY,MANHATTAN,KS,4202801
UNIVERSITY OF OKLAHOMA,NORMAN,OK,1524002
"BROAD INSTITUTE, INC.",CAMBRIDGE,MA,10021177
MEDICAL UNIVERSITY OF SOUTH CAROLINA,CHARLESTON,SC,7575301
UNIVERSITY OF MONTANA,MISSOULA,MT,1381006
LUNDQUIST INSTITUTE FOR BIOMEDICAL INNOVATION AT HARBOR-UCLA MEDICAL CENTER,TORRANCE,CA,2543101
LOUISIANA STATE UNIV A&M COL BATON ROUGE,BATON ROUGE,LA,577907
"L2 DIAGNOSTICS, LLC",NEW HAVEN,CT,3970901
MONTANA STATE UNIVERSITY - BOZEMAN,BOZEMAN,MT,1381004
FEDERATION OF AMER SOC FOR EXPER BIOLOGY,Rockville,MD,2604901
"MICROBIOTIX, INC",WORCESTER,MA,4102301
SALK INSTITUTE FOR BIOLOGICAL STUDIES,La Jolla,CA,7210001
BOSTON MEDICAL CENTER,BOSTON,MA,3617301
UNIVERSITY OF TEXAS SAN ANTONIO,SAN ANTONIO,TX,578416
LURIE CHILDREN'S HOSPITAL OF CHICAGO,CHICAGO,IL,1525701
UPSTATE MEDICAL UNIVERSITY,SYRACUSE,NY,5992619
FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,513804
UNIVERSITY OF MASSACHUSETTS AMHERST,HADLEY,MA,850904
MAYO CLINIC ARIZONA,SCOTTSDALE,AZ,4976104
BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,DUARTE,CA,3058203
WAYNE STATE UNIVERSITY,DETROIT,MI,9110501
"UNIVERSITY OF CALIFORNIA, MERCED",MERCED,CA,10002981
FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,MANHASSET,NY,4155008
J. DAVID GLADSTONE INSTITUTES,SAN FRANCISCO,CA,1567601
NEW YORK BLOOD CENTER,NEW YORK,NY,1782801
RICE UNIVERSITY,HOUSTON,TX,9291001
UNIVERSITY OF KANSAS LAWRENCE,LAWRENCE,KS,1484302
CREIGHTON UNIVERSITY,OMAHA,NE,1943701
"VENATORX PHARMACEUTICALS, INC.",MALVERN,PA,10026839
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,1073501
NORTHEASTERN UNIVERSITY,BOSTON,MA,6116101
WEST VIRGINIA UNIVERSITY,MORGANTOWN,WV,9163701
TEXAS A&M UNIVERSITY,COLLEGE STATION,TX,10016499
"RUTGERS, THE STATE UNIV OF N.J.",PISCATAWAY,NJ,1196203
CLEMSON UNIVERSITY,CLEMSON,SC,1626401
FLORIDA INTERNATIONAL UNIVERSITY,MIAMI,FL,513809
COLD SPRING HARBOR LABORATORY,COLD SPRING HARBOR,NY,4577101
SRI INTERNATIONAL,MENLO PARK,CA,8042701
RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE PARK,NC,6939101
JACKSON LABORATORY,BAR HARBOR,ME,7096501
KAISER FOUNDATION RESEARCH INSTITUTE,Oakland,CA,3497005
RESEARCH INST OF FOX CHASE CAN CTR,PHILADELPHIA,PA,1190002
SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,LA JOLLA,CA,1180101
"KEPHERA DIAGNOSTICS, LLC",Framingham,MA,10044686
ARKANSAS CHILDREN'S HOSPITAL RES INST,LITTLE ROCK,AR,491702
RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,6644301
EAST CAROLINA UNIVERSITY,GREENVILLE,NC,578209
NORTH CAROLINA STATE UNIVERSITY RALEIGH,RALEIGH,NC,578204
UNIVERSITY OF NEVADA RENO,RENO,NV,829903
UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,TOLEDO,OH,229501
UNIVERSITY OF NORTH DAKOTA,GRAND FORKS,ND,6093301
